x averagetime averagesmooth time timedelta speed speeddelta speedaverage speedaveragetime speedmax speedmaxtime maxspeed maxspeeddelta maxspeedaverage angle angledelta acceleration accelerationsmooth accelerationdelta accelerationmin accelerationmax accelerationmintime accelerationmaxtime distance distancedelta turn turndelta rpm
19 100 10 1.08 0.057000000 5.09314 -0.2943 4.21031 4.08664 6.34186 6.34186 4.90985 -0.27543 6.96471 -6.23571 -2.37249 -5.16316 -1.29205 -0.416384 -5.16316 8.19672 8.19672 -5.16316 5.774884 0.290309 -0.155893 -0.0593123 6617.13
20 100 10 1.131 0.051000000 5.03215 -0.0609961 4.23771 4.11714 6.34186 6.34186 5.20425 0.294394 6.90603 -5.85122 0.384486 -1.196 -1.90215 3.96716 -5.16316 8.19672 8.19672 -5.16316 6.031523 0.256639 -0.14628 0.00961214 6537.88
21 100 10 1.191 0.060000000 5.08054 0.0483947 4.2649 4.14724 6.34186 6.34186 5.40905 0.204804 6.85774 -7.1497 -1.29848 0.806578 -2.17066 2.00258 -5.16316 8.19672 8.19672 -5.16316 6.336355 0.304832 -0.178742 -0.032462 6600.76
22 100 10 1.25 0.059000000 5.14186 0.061316 4.2923 4.17738 6.34186 6.34186 5.34797 -0.0610787 6.81056 -8.29776 -1.14806 1.03925 -1.58063 0.232676 -5.16316 8.19672 8.19672 -5.16316 6.639725 0.30337 -0.207444 -0.0287016 6680.42
23 100 10 1.311 0.061000000 4.84756 -0.2943 4.30913 4.19709 6.34186 6.34186 4.19678 -1.15119 6.73136 -7.64395 0.653811 -4.82459 -2.54416 -5.86385 -5.16316 8.19672 8.19672 -5.16316 6.935426 0.295701 -0.191099 0.0163453 6298.06
24 100 10 1.371 0.060000000 4.55326 -0.2943 4.31631 4.20727 6.34186 6.34186 4.14061 -0.0561721 6.65516 -7.87133 -0.227383 -4.905 -2.98621 -0.0804099 -5.16316 8.19672 8.19672 -5.16316 7.208621 0.273195 -0.196783 -0.00568457 5915.7
25 100 10 1.431 0.060000000 4.46144 -0.0918169 4.32045 4.21433 6.34186 6.34186 5.01728 0.87667 6.60836 -8.68209 -0.810752 -1.53028 -2.64874 3.37472 -5.16316 8.19672 8.19672 -5.16316 7.476307 0.267686 -0.217052 -0.0202688 5796.41
26 100 10 1.49 0.059000000 4.71834 0.256896 4.33151 4.22795 6.34186 6.34186 4.93841 -0.0788743 6.56197 -10.2492 -1.56712 4.35416 -1.76314 5.88444 -5.16316 8.19672 8.19672 -5.16316 7.754689 0.278382 -0.25623 -0.039178 6130.17
27 100 10 1.551 0.061000000 4.98908 0.27075 4.34928 4.24798 6.34186 6.34186 5.58291 0.6445 6.53551 -9.32402 0.925183 4.43852 -1.17273 0.0843558 -5.16316 8.19672 8.19672 -5.16316 8.059023 0.304334 -0.233101 0.0231296 6481.94
28 100 10 1.611 0.060000000 4.85603 -0.133055 4.36261 4.26357 6.34186 6.34186 4.76826 -0.814645 6.48901 -8.55603 0.767999 -2.21758 -0.91981 -6.6561 -5.16316 8.19672 8.19672 -5.16316 8.350385 0.291362 -0.213901 0.0192 6309.07
29 100 10 1.67 0.059000000 4.56173 -0.2943 4.36772 4.27103 6.34186 6.34186 4.32743 -0.44083 6.43358 -7.96733 0.588694 -4.98814 -0.902308 -2.77056 -5.16316 8.19672 8.19672 -5.16316 8.619527 0.269142 -0.199183 0.0147174 5926.71
30 100 10 1.73 0.060000000 4.70612 0.144387 4.37618 4.28164 6.34186 6.34186 4.91653 0.589099 6.39566 -9.04307 -1.07574 2.40645 -0.542062 7.39459 -5.16316 8.19672 8.19672 -5.16316 8.901894 0.282367 -0.226077 -0.0268935 6114.3
31 100 10 1.781 0.051000000 4.93544 0.229321 4.38982 4.29721 6.34186 6.34186 6.59296 1.67643 6.40047 -9.76254 -0.719466 4.49648 -0.173072 2.09003 -5.16316 8.19672 8.19672 -5.16316 9.153601 0.251707 -0.244063 -0.0179867 6412.24
32 100 10 1.84 0.059000000 4.91142 -0.0240216 4.40224 4.31149 6.34186 6.34186 4.61349 -1.97947 6.35792 -10.2226 -0.460033 -0.407146 -0.317712 -4.90363 -5.16316 8.19672 8.19672 -5.16316 9.443375 0.289774 -0.255564 -0.0115008 6381.03
