datapoint averagetime averagesmooth time timedelta speed speeddelta speedaverage speedaveragetime speedmax speedmaxtime maxspeed maxspeeddelta maxspeedaverage angle angledelta acceleration accelerationsmooth accelerationdelta accelerationmin accelerationmax accelerationmintime accelerationmaxtime distance distancedelta turn turndelta rpm
0 100 10 0.0 0.0 2.9832 -0.294384 1.20921 3.53865 6.13978 6.1038 2.66368 0.100132 4.19127 -18.5974 0.0583363 -5.02928 -1.01233 -0.240807 -66.6599 14.7776 5.13605 -5.07598 0.0 0.0 -0.464936 0.00145841 3875.84
1 100 10 0.059643978 0.059643978 3.09067 0.107471 1.20932 3.54103 6.13978 6.1038 3.50857 0.844887 4.19123 -18.9874 -0.389974 1.80188 -0.628891 6.83116 -66.6599 14.7776 5.13605 -5.07598 0.18434 0.18434 -0.474685 -0.00974935 4015.47
2 100 10 0.11102671 0.051382732 3.33237 0.241699 1.20944 3.54742 6.13978 6.1038 3.89594 0.387377 4.19121 -19.3162 -0.328767 4.7039 0.105274 2.90202 -66.6599 14.7776 5.13605 -5.07598 0.355566 0.171226 -0.482905 -0.00821918 4329.49
3 100 10 0.170086724 0.059060014 3.62728 0.294914 1.20957 3.5553 6.13978 6.1038 4.27387 0.37793 4.19122 -17.5455 1.77073 4.99346 0.832794 0.289568 -66.6599 14.7776 5.13605 -5.07598 0.569793 0.214227 -0.438636 0.0442683 4712.65
4 100 10 0.229453105 0.059366381 3.92199 0.294708 1.20973 3.56758 6.13978 6.1038 4.87799 0.604116 4.19125 -16.8387 0.706732 4.96422 1.38375 -0.0292472 -66.6599 14.7776 5.13605 -5.07598 0.802627 0.232834 -0.420968 0.0176683 5095.55
5 100 10 0.280016098 0.050562993 4.16763 0.245643 1.20989 3.58479 6.13978 6.1038 5.19 0.312015 4.19131 -15.7792 1.05952 4.85816 1.60138 -0.106055 -66.6599 14.7776 5.13605 -5.07598 1.013355 0.210728 -0.39448 0.026488 5414.69
6 100 10 0.332409158 0.05239306 4.4141 0.246466 1.21007 3.60737 6.13978 6.1038 4.80798 -0.38202 4.19134 -14.4864 1.29278 4.70418 2.39603 -0.153985 -66.6599 14.7776 5.13605 -5.07598 1.244623 0.231268 -0.362161 0.0323195 5734.91
7 100 10 0.390072575 0.057663417 4.61235 0.198246 1.21026 3.63241 6.13978 6.1038 4.33742 -0.470568 4.19135 -11.9465 2.53992 3.43798 2.45337 -1.2662 -66.6599 14.7776 5.13605 -5.07598 1.510587 0.265964 -0.298662 0.0634981 5992.47
8 100 10 0.440437203 0.050364628 4.38055 -0.231796 1.21044 3.65608 6.13978 6.1038 4.03529 -0.302127 4.19134 -9.98417 1.96233 -4.60235 1.50437 -8.04033 -66.6599 14.7776 5.13605 -5.07598 1.731212 0.220625 -0.249604 0.0490583 5691.32
9 100 10 0.500417914 0.059980711 4.08584 -0.294713 1.2106 3.67906 6.13978 6.1038 3.84812 -0.187172 4.19132 -8.50115 1.48301 -4.91346 1.49187 -0.31111 -66.6599 14.7776 5.13605 -5.07598 1.976283 0.245071 -0.212529 0.0370754 5308.42
10 100 10 0.56035053 0.059932616 3.79135 -0.294485 1.21074 3.69856 6.13978 6.1038 3.55966 -0.288455 4.19129 -5.47801 3.02314 -4.9136 1.50343 -0.000139905 -66.6599 14.7776 5.13605 -5.07598 2.203509 0.227226 -0.13695 0.0755785 4925.82
11 100 10 0.610522807 0.050172277 3.57636 -0.214995 1.21088 3.71301 6.13978 6.1038 3.4207 -0.138961 4.19125 -3.75326 1.72475 -4.28513 0.894734 0.62847 -66.6599 14.7776 5.13605 -5.07598 2.382943 0.179434 -0.0938316 0.0431187 4646.49
12 100 10 0.669119529 0.058596722 3.34048 -0.235877 1.211 3.72265 6.13978 6.1038 3.28904 -0.131661 4.1912 -2.36655 1.38671 -4.02543 0.0218005 0.259699 -66.6599 14.7776 5.13605 -5.07598 2.578684 0.195741 -0.0591638 0.0346678 4340.03
13 100 10 0.719900057 0.050780528 3.30323 -0.0372522 1.21111 3.72945 6.13978 6.1038 3.24619 -0.0428506 4.19114 -2.06586 0.300688 -0.733592 -0.550905 3.29184 -66.6599 14.7776 5.13605 -5.07598 2.746424 0.16774 -0.0516466 0.0075172 4291.63
14 100 10 0.770477515 0.050577458 3.1606 -0.142625 1.21122 3.7324 6.13978 6.1038 3.09697 -0.149214 4.19108 -1.6967 0.369159 -2.81993 -1.32932 -2.08634 -66.6599 14.7776 5.13605 -5.07598 2.906279 0.159855 -0.0424176 0.00922899 4106.33
15 100 10 0.829691576 0.059214061 3.00483 -0.155777 1.21132 3.73083 6.13978 6.1038 2.98617 -0.110802 4.19101 -3.66832 -1.97161 -2.63075 -2.07821 0.189178 -66.6599 14.7776 5.08725 -5.07598 3.084207 0.177928 -0.0917079 -0.0492904 3903.94
16 100 10 0.888636072 0.058944496 2.7134 -0.291423 1.21141 3.72389 6.13978 6.1038 2.97278 -0.0133901 4.19095 -5.88278 -2.21446 -4.94402 -3.04303 -2.31327 -66.6599 14.7776 5.08725 -5.07598 3.244147 0.15994 -0.147069 -0.0553615 3525.32
17 100 10 0.939695926 0.051059854 2.69528 -0.0181243 1.21149 3.71428 6.13978 6.1038 2.77549 -0.197288 4.19087 -7.32439 -1.44161 -0.354963 -3.42232 4.58906 -66.6599 14.7776 5.08725 -5.07598 3.381768 0.137621 -0.18311 -0.0360402 3501.77
18 100 10 1.000170842 0.060474916 2.56637 -0.128909 1.21157 3.70048 6.13978 6.1038 1.70636 -1.06914 4.19073 -12.5806 -5.25622 -2.13161 -3.17525 -1.77664 -66.6599 14.7776 5.08725 -5.07598 3.536969 0.155201 -0.314515 -0.131405 3334.29
