datapoint averagetime averagesmooth time timedelta speed speeddelta speedaverage speedaveragetime speedmax speedmaxtime maxspeed maxspeeddelta maxspeedaverage angle angledelta acceleration accelerationsmooth accelerationdelta accelerationmin accelerationmax accelerationmintime accelerationmaxtime distance distancedelta turn turndelta rpm
19 100 10 1.059009738 0.058838896 2.27427 -0.292103 1.21163 3.68127 6.13978 6.1038 1.49811 -0.208241 4.19058 -15.8173 -3.23673 -4.96446 -3.18035 -2.83285 -66.6599 14.7776 5.08725 -5.07598 3.670784 0.133815 -0.395433 -0.0809182 2954.78
20 100 10 1.110550132 0.051540394 2.02678 -0.247487 1.21167 3.65666 6.13978 6.1038 1.51156 0.0134424 4.19043 -18.4934 -2.67609 -4.8018 -3.16917 0.16266 -66.6599 14.7776 5.08725 -5.07598 3.775245 0.104461 -0.462335 -0.0669022 2633.24
21 100 10 1.160595466 0.050045334 1.78132 -0.245459 1.2117 3.62668 6.13978 6.1038 1.63218 0.120619 4.19028 -24.6096 -6.11619 -4.90474 -3.23113 -0.102943 -66.6599 14.7776 5.08725 -5.07598 3.8643918 0.0891468 -0.61524 -0.152905 2314.33
22 100 10 1.22105003 0.060454564 1.97655 0.195226 1.21175 3.59619 6.13978 6.1038 3.7433 2.11113 4.19026 -24.8377 -0.228093 3.22931 -2.50566 8.13405 -66.6599 14.7776 5.08725 -5.07598 3.9838828 0.119491 -0.620942 -0.00570232 2567.98
23 100 10 1.279735999 0.058685969 2.08209 0.10554 1.21179 3.56382 6.13978 6.1038 5.03653 1.29322 4.19031 -33.1038 -8.26607 1.79838 -2.25246 -1.43093 -66.6599 14.7776 4.99346 -5.07598 4.1060718 0.122189 -0.827594 -0.206652 2705.1
24 100 10 1.331154762 0.051418763 1.83484 -0.247251 1.21183 3.52648 6.13978 6.1038 6.1965 1.15998 4.19042 -28.895 4.20879 -4.80857 -2.45132 -6.60695 -66.6599 14.7776 4.99346 -5.07598 4.2004168 0.094345 -0.722374 0.10522 2383.86
25 100 10 1.389943515 0.058788753 1.95824 0.123401 1.21187 3.48743 6.13978 6.1038 6.55499 0.358491 4.19055 -27.9455 0.949481 2.09906 -1.97834 6.90763 -66.6599 14.7776 4.99346 -5.07598 4.3155388 0.115122 -0.698637 0.023737 2544.19
26 100 10 1.440023889 0.050080374 2.2015 0.243266 1.21193 3.44841 6.13978 5.855 7.00735 0.452351 4.19071 -26.7009 1.24463 4.85751 -0.998188 2.75845 -66.6599 14.7776 4.99346 -5.07598 4.4257908 0.110252 -0.667522 0.0311157 2860.24
27 100 10 1.499753402 0.059729513 2.49719 0.295688 1.212 3.41483 6.13978 5.6829 7.34928 0.341939 4.19089 -24.3515 2.34939 4.95045 -0.467648 0.0929385 -66.6599 14.7776 4.99346 -5.07598 4.5749468 0.149156 -0.608787 0.0587347 3244.41
28 100 10 1.550142797 0.050389395 2.74509 0.247904 1.21208 3.38666 6.13978 5.6829 7.76297 0.413686 4.19109 -22.5668 1.78473 4.91977 0.23749 -0.0306785 -66.6599 14.7776 4.99346 -5.02928 4.7132708 0.138324 -0.564169 0.0446181 3566.49
29 100 10 1.609357083 0.059214286 3.03935 0.294257 1.21219 3.36389 6.13978 5.6829 8.28201 0.51904 4.19131 -20.9501 1.61667 4.96936 1.23087 0.0495944 -66.6599 14.7776 4.99346 -5.02928 4.8932438 0.179973 -0.523752 0.0404167 3948.8
30 100 10 1.669391874 0.060034791 3.3316 0.292245 1.2123 3.3465 6.13978 5.6829 9.24343 0.961419 4.1916 -18.1308 2.81933 4.86793 2.19784 -0.101435 -66.6599 14.7776 4.99346 -5.02928 5.0932558 0.200012 -0.453269 0.0704832 4328.49
31 100 10 1.719433048 0.050041174 3.57937 0.247774 1.21244 3.33451 6.13978 5.6829 9.81009 0.56666 4.19191 -16.227 1.90377 4.9514 3.18346 0.0834697 -66.6599 14.7776 4.99346 -5.02928 5.2723718 0.179116 -0.405675 0.0475943 4650.4
32 100 10 1.77937072 0.059937672 3.8717 0.292329 1.21259 3.32791 6.13978 5.6829 9.99057 0.18048 4.19223 -14.6043 1.62271 4.87721 3.34825 -0.0741859 -66.6599 14.7776 4.99346 -5.02928 5.5044328 0.232061 -0.365107 0.0405678 5030.2
33 100 10 1.829928337 0.050557617 4.11907 0.247375 1.21275 3.32675 6.13978 5.6829 10.0416 0.0510078 4.19256 -13.0025 1.60181 4.89293 3.6577 0.0157182 -66.6599 14.7776 4.99346 -5.02928 5.7126838 0.208251 -0.325062 0.0400451 5351.6
34 100 10 1.880934816 0.051006479 4.36451 0.245439 1.21292 3.33049 6.13978 5.6829 9.94332 -0.098255 4.19288 -11.8353 1.16718 4.81191 4.61975 -0.0810181 -66.6599 14.7776 4.99346 -5.02928 5.9353018 0.222618 -0.295882 0.0291794 5670.48
35 100 10 1.939063574 0.058128758 4.65546 0.290947 1.21312 3.34007 6.13978 5.6829 9.64418 -0.299146 4.19319 -7.76989 4.06539 5.00522 4.91037 0.193314 -66.6599 14.7776 5.00522 -5.02928 6.2059178 0.270616 -0.194247 0.101635 6048.48
36 100 10 1.998818335 0.059754761 4.94942 0.293965 1.21333 3.35554 6.13978 5.6829 9.36839 -0.275783 4.19348 -5.70118 2.06872 4.91952 4.91657 -0.0857017 -66.6599 14.7776 5.00522 -5.02928 6.5016698 0.295752 -0.142529 0.051718 6430.41
37 100 10 2.049039891 0.050221556 5.19509 0.245667 1.21355 3.37642 6.13978 5.6829 8.55012 -0.818276 4.19372 -3.47069 2.23048 4.89166 4.91069 -0.027858 -66.6599 14.7776 5.00522 -5.02928 6.7625758 0.260906 -0.0867673 0.0557621 6749.59
38 100 10 2.1088199 0.059780009 5.48832 0.293224 1.21379 3.40152 6.13978 5.6829 7.26701 -1.28311 4.19389 -1.8271 1.64359 4.90505 4.90922 0.0133847 -66.6599 14.7776 5.00522 -5.02928 7.0906678 0.328092 -0.0456775 0.0410898 7130.55
39 100 10 2.160053769 0.051233869 5.73782 0.249508 1.21404 3.43203 6.13978 5.73782 6.67507 -0.591942 4.19403 0.161829 1.98893 4.86998 4.89928 -0.035069 -66.6599 14.7776 5.00522 -5.02928 7.3846388 0.293971 0.00404572 0.0497232 7454.72
40 100 10 2.219478261 0.059424492 6.03091 0.293083 1.21431 3.46794 6.13978 6.03091 6.26213 -0.412939 4.19415 1.39321 1.23139 4.93203 4.90569 0.0620471 -66.6599 14.7776 5.00522 -5.02928 7.7430228 0.358384 0.0348303 0.0307846 7835.5
41 100 10 2.27926835 0.059790089 5.93466 -0.0962415 1.21457 3.50583 6.13978 6.03091 5.74135 -0.520776 4.19423 1.78838 0.395166 -1.60966 4.24959 -6.54168 -66.6599 14.7776 5.00522 -5.02928 8.0978568 0.354834 0.0447095 0.00987915 7710.46
42 100 10 2.339350053 0.060081703 5.63948 -0.295186 1.21482 3.54323 6.13978 6.03091 5.10036 -0.64099 4.19428 2.61101 0.822634 -4.91307 3.27056 -3.30341 -66.6599 14.7776 5.00522 -5.02928 8.4366868 0.33883 0.0652753 0.0205658 7326.95
43 100 10 2.398951279 0.059601226 5.34831 -0.291168 1.21505 3.57933 6.13978 6.03091 4.67551 -0.424847 4.19431 2.2023 -0.408718 -4.88527 2.29274 0.027797 -66.6599 14.7776 5.00522 -5.02928 8.7554528 0.318766 0.0550574 -0.0102179 6948.65
44 100 10 2.44933629 0.050385011 5.10078 -0.247528 1.21527 3.61188 6.13978 6.03091 4.26015 -0.415368 4.19432 2.6126 0.410306 -4.91272 1.32027 -0.0274507 -66.6599 14.7776 5.00522 -5.02928 9.0124558 0.257003 0.065315 0.0102576 6627.06
45 100 10 2.509276906 0.059940616 4.80773 -0.293056 1.21547 3.63953 6.13978 6.03091 3.77931 -0.480832 4.19429 1.69984 -0.912762 -4.88911 0.330842 0.0236172 -66.6599 14.7776 5.00522 -5.02928 9.3006338 0.288178 0.042496 -0.022819 6246.31
46 100 10 2.570612871 0.061335965 4.5119 -0.295823 1.21565 3.66177 6.13978 6.03091 3.56095 -0.21836 4.19426 0.62033 -1.07951 -4.823 -0.64341 0.06611 -66.6599 14.7776 5.00522 -5.02928 9.5773758 0.276742 0.0155082 -0.0269878 5861.97
47 100 10 2.629713589 0.059100718 4.21635 -0.29555 1.21582 3.67814 6.13978 6.03091 3.42531 -0.135643 4.19421 -0.0949317 -0.715261 -5.00079 -1.63266 -0.177795 -66.6599 14.7776 5.00522 -5.02928 9.8265658 0.24919 -0.00237329 -0.0178815 5477.99
48 100 10 2.689651261 0.059937672 3.92384 -0.292515 1.21597 3.68999 6.13978 6.03091 3.31572 -0.109593 4.19416 -1.32723 -1.2323 -4.88032 -2.61119 0.120475 -66.6599 14.7776 5.00522 -5.02928 10.0617518 0.235186 -0.0331808 -0.0308075 5097.95
49 100 10 2.748772299 0.059121038 3.63157 -0.292273 1.21611 3.69647 6.13978 6.03091 3.30132 -0.0143934 4.19411 -4.45469 -3.12746 -4.94363 -3.59255 -0.0633182 -66.6599 14.7776 5.00522 -5.02928 10.2764538 0.214702 -0.111367 -0.0781864 4718.22
50 100 10 2.799225246 0.050452947 3.38364 -0.247923 1.21623 3.69752 6.13978 6.03091 3.26104 -0.0402812 4.19406 -7.49236 -3.03768 -4.91394 -4.57715 0.0296917 -66.6599 14.7776 5.00522 -5.02928 10.4471688 0.170715 -0.187309 -0.0759419 4396.11
51 100 10 2.859636866 0.06041162 3.09247 -0.291168 1.21633 3.69328 6.13978 6.03091 2.6173 -0.643743 4.19397 -11.6421 -4.14969 -4.81974 -4.89816 0.0942004 -66.6599 14.7776 5.00522 -5.02928 10.6339898 0.186821 -0.291051 -0.103742 4017.82
52 100 10 2.910076533 0.050439667 2.98942 -0.10306 1.21643 3.68605 6.13978 6.03091 1.83138 -0.785922 4.19384 -18.9824 -7.34032 -2.04322 -4.61117 2.77652 -66.6599 14.7776 5.00522 -5.02928 10.7847748 0.150785 -0.474559 -0.183508 3883.92
53 100 10 2.969607456 0.059530923 2.69577 -0.293643 1.21652 3.67514 6.13978 6.03091 1.62834 -0.20304 4.1937 -23.6817 -4.69937 -4.93262 -4.61591 -2.88939 -66.6599 14.7776 5.00522 -5.02928 10.9452568 0.160482 -0.592044 -0.117484 3502.41
54 100 10 3.019883828 0.050276372 2.44775 -0.248024 1.21658 3.66045 6.13978 6.03091 2.04446 0.416126 4.19358 -27.2209 -3.53917 -4.93321 -4.61796 -0.000594816 -66.6599 14.7776 5.00522 -5.02928 11.0683208 0.123064 -0.680523 -0.0884793 3180.17
55 100 10 3.070293927 0.050410099 2.2018 -0.245946 1.21664 3.64155 6.13978 6.03091 2.51112 0.466657 4.19349 -28.3444 -1.12349 -4.8789 -4.61694 0.0543145 -66.6599 14.7776 5.00522 -5.02928 11.1793138 0.110993 -0.70861 -0.0280873 2860.63
56 100 10 3.131060168 0.060766241 1.91094 -0.290863 1.21668 3.61807 6.13978 6.03091 3.54566 1.03454 4.19345 -29.9778 -1.63339 -4.78659 -4.6133 0.092306 -66.6599 14.7776 5.00522 -5.02928 11.2954348 0.116121 -0.749445 -0.0408347 2482.74
57 100 10 3.190545427 0.059485259 1.79001 -0.120926 1.21671 3.59534 6.13978 6.03091 3.5663 0.0206388 4.19341 -29.4477 0.530059 -2.03288 -4.31651 2.75371 -66.6599 14.7776 5.00522 -5.02928 11.4019138 0.106479 -0.736193 0.0132515 2325.63
58 100 10 3.248841224 0.058295797 1.93631 0.146297 1.21675 3.57652 6.13978 6.03091 3.62894 0.0626412 4.19338 -29.3267 0.121009 2.50957 -3.57752 4.54245 -66.6599 14.7776 5.00522 -5.02928 11.5147928 0.112879 -0.733168 0.00302523 2515.7
59 100 10 3.299494361 0.050653137 2.18345 0.247142 1.2168 3.56312 6.13978 6.03091 3.68145 0.0525124 4.19335 -28.6048 0.72192 4.87911 -2.59524 2.36954 -66.6599 14.7776 5.00522 -5.02928 11.6253918 0.110599 -0.71512 0.018048 2836.79
60 100 10 3.351826653 0.052332292 2.35962 0.17617 1.21687 3.55443 6.13978 6.03091 3.67522 -0.00623064 4.19332 -26.9679 1.63692 3.36637 -1.76721 -1.51275 -66.6599 14.7776 5.00522 -5.02928 11.7488758 0.123484 -0.674197 0.0409229 3065.68
61 100 10 3.410697773 0.05887112 2.63338 0.273762 1.21695 3.54973 6.13978 6.03091 3.71519 0.0399752 4.1933 -23.266 3.70184 4.65019 -0.820219 1.28382 -66.6599 14.7776 5.00522 -5.02928 11.9039058 0.15503 -0.581651 0.0925461 3421.36
62 100 10 3.470792436 0.060094663 2.92825 0.294862 1.21704 3.5465 6.13978 6.03091 3.77257 0.0573761 4.19327 -20.1989 3.06719 4.90662 -0.125234 0.25643 -66.6599 14.7776 5.00522 -5.02928 12.0798778 0.175972 -0.504971 0.0766798 3804.45
63 100 10 3.529769763 0.058977327 3.21788 0.28963 1.21715 3.54863 6.13978 6.03091 3.76698 -0.0055914 4.19325 -19.0019 1.19692 4.91087 0.859114 0.00424712 -66.6599 14.7776 5.00522 -5.02928 12.2696598 0.189782 -0.475048 0.029923 4180.74
64 100 10 3.580402196 0.050632433 3.46344 0.245564 1.21728 3.55615 6.13978 6.03091 3.72271 -0.0442688 4.19322 -15.3876 3.61432 4.84993 1.83743 -0.0609306 -66.6599 14.7776 5.00522 -5.02928 12.4450218 0.175362 -0.38469 0.090358 4499.78
65 100 10 3.639553155 0.059150959 3.69315 0.229715 1.21742 3.5689 6.13978 6.03091 3.74774 0.0250262 4.1932 -10.2456 5.14197 3.88354 2.71367 -0.966391 -66.6599 14.7776 5.00522 -5.02928 12.6634758 0.218454 -0.256141 0.128549 4798.24
66 100 10 3.699168109 0.059614954 3.7557 0.0625477 1.21756 3.58473 6.13978 6.03091 3.7926 0.0448636 4.19318 -9.01931 1.22633 1.04919 3.29725 -2.83435 -66.6599 14.7776 5.00522 -5.02928 12.8873718 0.223896 -0.225483 0.0306583 4879.5
67 100 10 3.759063285 0.059895176 3.88022 0.124516 1.21771 3.6046 6.13978 6.03091 4.1562 0.363599 4.19318 -5.90685 3.11246 2.07891 3.70843 1.02971 -66.6599 14.7776 5.00522 -5.02928 13.1197778 0.232406 -0.147671 0.0778115 5041.27
68 100 10 3.81001098 0.050947695 3.97532 0.095099 1.21786 3.6235 6.13978 6.03091 4.26854 0.112345 4.19318 -4.58102 1.32583 1.8666 3.64413 -0.212307 -66.6599 14.7776 5.00522 -5.02928 13.3223108 0.202533 -0.114525 0.0331458 5164.83
69 100 10 3.87041316 0.06040218 4.18396 0.208641 1.21803 3.64164 6.13978 6.03091 4.09771 -0.170837 4.19317 -3.85289 0.728129 3.45419 3.50164 1.58759 -66.6599 14.7776 5.00522 -5.02928 13.5750308 0.25272 -0.0963222 0.0182032 5435.9
70 100 10 3.93003413 0.05962097 4.12242 -0.0615382 1.21819 3.65625 6.13978 6.03091 4.04223 -0.0554731 4.19317 -3.27864 0.57425 -1.03216 3.06179 -4.48635 -66.6599 14.7776 5.00522 -5.02928 13.8208138 0.245783 -0.081966 0.0143562 5355.95
71 100 10 3.98953347 0.05949934 3.83069 -0.291734 1.21834 3.66584 6.13978 6.03091 3.70863 -0.333599 4.19314 -3.13709 0.141547 -4.90315 2.10646 -3.87099 -66.6599 14.7776 5.00522 -5.02928 14.0487368 0.227923 -0.0784273 0.00353867 4976.92
72 100 10 4.039731026 0.050197556 3.58495 -0.245735 1.21847 3.67085 6.13978 6.03091 3.56408 -0.144556 4.1931 -3.92239 -0.785301 -4.89537 1.12626 0.00778053 -66.6599 14.7776 5.00522 -5.02928 14.2286928 0.179956 -0.0980598 -0.0196325 4657.65
73 100 10 4.099553179 0.059822153 3.28864 -0.296306 1.21858 3.66998 6.13978 6.03091 3.49004 -0.0740335 4.19306 -4.41559 -0.493197 -4.95312 0.139858 -0.0577552 -66.6599 14.7776 5.00522 -5.02928 14.4254268 0.196734 -0.11039 -0.0123299 4272.69
74 100 10 4.160411484 0.060858305 3.0992 -0.189441 1.21869 3.66476 6.13978 6.03091 3.43462 -0.0554231 4.19302 -7.78892 -3.37333 -3.11282 -0.656417 1.8403 -66.6599 14.7776 5.00522 -5.02928 14.6140388 0.188612 -0.194723 -0.0843332 4026.56
75 100 10 4.21949985 0.059088366 2.95901 -0.140192 1.21879 3.65567 6.13978 6.03091 2.01151 -1.42311 4.1929 -13.8244 -6.03545 -2.37258 -1.28203 0.740242 -66.6599 14.7776 5.00522 -5.02928 14.7888818 0.174843 -0.345609 -0.150886 3844.42
76 100 10 4.269828414 0.050328564 2.71694 -0.242073 1.21887 3.64121 6.13978 6.03091 1.85549 -0.156022 4.19277 -13.5599 0.264446 -4.80986 -1.86793 -2.43728 -66.6599 14.7776 5.00522 -5.02928 14.9256218 0.13674 -0.338998 0.00661114 3529.91
77 100 10 4.320474383 0.050645969 2.46797 -0.248968 1.21894 3.62133 6.13978 6.03091 2.00712 0.151632 4.19265 -16.4919 -2.93197 -4.91584 -2.56741 -0.105984 -66.6599 14.7776 5.00522 -5.02928 15.0506148 0.124993 -0.412297 -0.0732993 3206.45
78 100 10 4.370749219 0.050274836 2.22561 -0.242362 1.21899 3.59654 6.13978 6.03091 2.75326 0.746143 4.19257 -20.7848 -4.29295 -4.82074 -3.23614 0.0951059 -66.6599 14.7776 5.00522 -5.02928 15.1625068 0.111892 -0.519621 -0.107324 2891.56
79 100 10 4.429481364 0.058732145 1.93098 -0.294634 1.21903 3.56591 6.13978 6.03091 3.09241 0.339149 4.19251 -24.0973 -3.31245 -5.01657 -4.08322 -0.195832 -66.6599 14.7776 5.00522 -5.02928 15.2759168 0.11341 -0.602432 -0.0828113 2508.77
80 100 10 4.489527771 0.060046407 1.71632 -0.214653 1.21906 3.53067 6.13978 6.03091 3.2567 0.164287 4.19245 -25.4833 -1.38604 -3.57479 -4.33748 1.44178 -66.6599 14.7776 5.00522 -5.02928 15.3789758 0.103059 -0.637083 -0.0346509 2229.89
81 100 10 4.540016429 0.050488658 1.86569 0.149365 1.2191 3.49397 6.13978 6.03091 3.41011 0.153414 4.19241 -24.2906 1.19268 2.95839 -3.55133 6.53318 -66.6599 14.7776 5.00522 -5.02928 15.4731718 0.094196 -0.607266 0.0298171 2423.95
82 100 10 4.601273387 0.061256958 2.1559 0.290218 1.21915 3.4587 6.13978 6.03091 3.55044 0.140328 4.19237 -22.7449 1.54577 4.73771 -2.58802 1.77932 -66.6599 14.7776 5.00522 -5.02928 15.6052358 0.132064 -0.568622 0.0386442 2801
83 100 10 4.659325794 0.058052407 2.44691 0.291003 1.21922 3.4288 6.13978 6.03091 3.58639 0.0359428 4.19234 -19.5278 3.21706 5.01276 -1.59143 0.275049 -66.6599 14.7776 5.01276 -5.02928 15.7472848 0.142049 -0.488196 0.0804264 3179.08
84 100 10 4.719250538 0.059924744 2.72779 0.28088 1.2193 3.40465 6.13978 6.03091 3.62105 0.0346634 4.19231 -18.0544 1.47347 4.68721 -0.811431 -0.325551 -66.6599 14.7776 5.01276 -5.02928 15.9107468 0.163462 -0.451359 0.0368368 3544.01
85 100 10 4.769285791 0.050035253 2.9231 0.195309 1.2194 3.38541 6.13978 6.03091 3.65597 0.0349228 4.19228 -15.5985 2.45584 3.90343 -0.183831 -0.783782 -66.6599 14.7776 5.01276 -5.02928 16.0570048 0.146258 -0.389963 0.0613959 3797.76
86 100 10 4.820688426 0.051402635 3.16923 0.246131 1.21951 3.37105 6.13978 6.03091 3.89942 0.243453 4.19226 -13.5245 2.07397 4.78829 0.775984 0.884868 -66.6599 14.7776 5.01276 -5.02928 16.2199118 0.162907 -0.338114 0.0518492 4117.54
87 100 10 4.88016415 0.059475724 3.46799 0.298764 1.21963 3.36215 6.13978 6.03091 4.7772 0.877781 4.1923 -10.8657 2.65888 5.02329 1.7699 0.234991 -66.6599 14.7776 5.02329 -5.02928 16.4261728 0.206261 -0.271642 0.0664721 4505.7
88 100 10 4.93905975 0.0588956 3.75704 0.289051 1.21977 3.35909 6.13978 6.03091 4.92263 0.145423 4.19234 -9.59487 1.2708 4.90786 2.74276 -0.115426 -66.6599 14.7776 5.02329 -5.02928 16.6474458 0.221273 -0.239872 0.0317699 4881.24
89 100 10 4.990244179 0.051184429 4.00667 0.249628 1.21993 3.361 6.13978 6.03091 5.05233 0.129705 4.19238 -8.47193 1.12294 4.87703 3.73212 -0.0308322 -66.6599 14.7776 5.02329 -5.02928 16.8525248 0.205079 -0.211798 0.0280734 5205.56
90 100 10 5.041568991 0.051324812 4.25201 0.245338 1.2201 3.36766 6.13978 6.03091 5.27792 0.225585 4.19244 -7.97048 0.501449 4.7801 4.56761 -0.0969223 -66.6599 14.7776 5.02329 -5.02928 17.0707578 0.218233 -0.199262 0.0125362 5524.31
91 100 10 5.099760628 0.058191637 4.5453 0.293292 1.22028 3.37846 6.13978 6.03091 5.68341 0.405495 4.19253 -8.28395 -0.313472 5.04011 4.77578 0.260002 -66.6599 14.7776 5.04011 -5.02928 17.3352558 0.264498 -0.207099 -0.0078368 5905.36
92 100 10 5.149915177 0.050154549 4.78824 0.242943 1.22048 3.39301 6.13978 6.03091 6.01786 0.334447 4.19263 -8.68077 -0.396814 4.84389 4.7864 -0.196213 -66.6599 14.7776 5.04011 -5.02928 17.5754078 0.240152 -0.217019 -0.00992034 6221
93 100 10 5.209280629 0.059365452 5.08385 0.295608 1.2207 3.41187 6.13978 6.03091 6.47933 0.461467 4.19276 -8.77144 -0.090676 4.97945 4.78307 0.135561 -66.6599 14.7776 5.04011 -5.02928 17.8772128 0.301805 -0.219286 -0.0022669 6605.06
94 100 10 5.261305756 0.052025127 5.32745 0.2436 1.22093 3.43345 6.13978 6.03091 6.46379 -0.0155373 4.19288 -8.69272 0.0787222 4.68236 4.78258 -0.297095 -66.6599 14.7776 5.04011 -5.02928 18.1543738 0.277161 -0.217318 0.00196806 6921.55
95 100 10 5.319429042 0.058123286 5.62284 0.295392 1.22117 3.4564 6.13978 6.03091 6.1563 -0.307487 4.19299 -9.44916 -0.756435 5.08216 4.90045 0.399803 -66.6599 14.7776 5.08216 -5.02928 18.4811918 0.326818 -0.236229 -0.0189109 7305.33
