Datapoint;Time;TimeDelta;Speed;SpeedDelta;SpeedAverage;Maxspeed;MaxspeedDelta;MaxspeedAverage;Angle;AngleDelta;Acceleration;AccelerationDelta;Distance;DistanceDelta
0;0.30;0.30;0.62;0.62;0.62;4.41;4.41;4.41;0.52;0.52;2.05;2.05;0.19;0.19
1;0.35;0.05;1.28;0.67;1.28;4.66;0.25;4.66;0.50;-0.02;13.32;11.27;0.25;0.06
2;0.40;0.05;1.39;0.10;1.34;4.93;0.26;4.80;0.45;-0.05;2.14;-11.18;0.32;0.07
3;0.45;0.05;1.83;0.44;1.50;5.09;0.17;4.89;0.39;-0.06;8.80;6.66;0.41;0.09
4;0.50;0.05;2.27;0.44;1.69;5.43;0.33;5.03;0.22;-0.17;8.55;-0.25;0.53;0.12
5;0.55;0.05;2.18;-0.09;1.79;5.59;0.16;5.14;0.15;-0.07;-1.92;-10.47;0.63;0.11
6;0.60;0.05;2.30;0.12;1.88;5.92;0.33;5.27;0.06;-0.10;2.43;4.36;0.75;0.11
7;0.65;0.05;2.78;0.48;2.01;6.09;0.17;5.39;0.02;-0.03;9.68;7.24;0.89;0.14
8;0.70;0.05;2.86;0.08;2.11;6.35;0.26;5.51;-0.02;-0.04;1.58;-8.09;1.03;0.15
9;0.75;0.05;3.13;0.27;2.23;6.60;0.25;5.63;-0.04;-0.02;5.35;3.76;1.19;0.16
10;0.80;0.05;3.37;0.24;2.34;6.86;0.26;5.75;-0.06;-0.02;4.97;-0.38;1.35;0.17
11;0.85;0.05;3.55;0.18;2.45;7.15;0.29;5.88;-0.08;-0.02;3.47;-1.50;1.54;0.18
12;0.90;0.05;3.94;0.39;2.57;7.39;0.24;6.00;-0.06;0.02;7.42;3.95;1.74;0.20
13;0.95;0.05;4.08;0.14;2.69;7.55;0.16;6.12;-0.06;0.00;3.04;-4.38;1.93;0.19
14;1.00;0.05;4.37;0.29;2.81;7.81;0.26;6.24;-0.06;-0.00;5.42;2.39;2.16;0.23
15;1.05;0.05;4.54;0.18;2.93;8.06;0.25;6.36;-0.06;-0.00;3.76;-1.66;2.38;0.21
16;1.10;0.05;4.85;0.30;3.05;8.14;0.09;6.48;-0.06;0.00;6.03;2.26;2.62;0.24
17;1.15;0.05;5.12;0.27;3.17;7.95;-0.19;6.56;-0.05;0.01;5.20;-0.82;2.89;0.27
18;1.20;0.05;5.29;0.17;3.29;7.78;-0.17;6.63;-0.05;0.01;3.49;-1.71;3.15;0.26
19;1.25;0.05;5.56;0.27;3.40;7.10;-0.68;6.66;-0.06;-0.01;5.21;1.72;3.43;0.28
20;1.30;0.05;5.76;0.21;3.52;6.62;-0.48;6.65;-0.03;0.02;4.32;-0.89;3.71;0.28
21;1.36;0.05;6.00;0.24;3.64;6.65;0.03;6.65;-0.03;0.01;4.37;0.05;4.04;0.33
22;1.40;0.04;6.22;0.22;3.76;6.21;-0.44;6.63;-0.03;-0.00;4.98;0.61;4.31;0.27
23;1.45;0.05;6.28;0.06;3.87;5.99;-0.23;6.61;-0.03;0.00;1.15;-3.83;4.63;0.32
24;1.50;0.05;6.06;-0.22;3.96;5.66;-0.33;6.57;-0.04;-0.01;-4.44;-5.59;4.94;0.30
25;1.55;0.05;5.79;-0.27;4.03;5.45;-0.20;6.52;-0.05;-0.01;-5.45;-1.01;5.23;0.29
26;1.60;0.05;5.59;-0.20;4.09;5.36;-0.09;6.48;-0.07;-0.02;-4.10;1.36;5.50;0.27
27;1.66;0.06;5.41;-0.17;4.14;5.22;-0.14;6.43;-0.08;-0.01;-3.07;1.03;5.81;0.31
28;1.70;0.04;5.29;-0.12;4.18;5.14;-0.08;6.38;-0.10;-0.02;-2.90;0.17;6.04;0.23
29;1.75;0.05;5.19;-0.09;4.22;4.85;-0.29;6.33;-0.11;-0.01;-1.72;1.18;6.32;0.29
30;1.80;0.05;4.97;-0.22;4.24;4.60;-0.25;6.27;-0.11;-0.01;-4.86;-3.14;6.55;0.22
31;1.85;0.05;4.63;-0.35;4.25;4.35;-0.25;6.21;-0.13;-0.01;-6.92;-2.06;6.78;0.23
32;1.90;0.05;4.55;-0.07;4.26;4.26;-0.10;6.15;-0.13;-0.00;-1.48;5.44;7.00;0.23
33;1.95;0.05;4.44;-0.12;4.27;4.46;0.20;6.10;-0.14;-0.01;-2.27;-0.78;7.24;0.23
34;2.00;0.05;4.62;0.19;4.28;4.61;0.16;6.06;-0.15;-0.01;3.85;6.12;7.46;0.23
35;2.05;0.05;4.77;0.14;4.29;4.65;0.03;6.02;-0.14;0.01;2.83;-1.03;7.70;0.24
36;2.10;0.05;4.58;-0.19;4.30;4.15;-0.50;5.96;-0.13;0.01;-3.61;-6.43;7.94;0.24
37;2.15;0.05;4.24;-0.34;4.30;3.87;-0.28;5.91;-0.11;0.01;-6.61;-3.00;8.15;0.22
38;2.20;0.05;4.12;-0.12;4.29;3.74;-0.13;5.85;-0.13;-0.01;-2.70;3.91;8.34;0.19
39;2.26;0.06;3.83;-0.29;4.28;3.75;0.01;5.80;-0.14;-0.02;-5.00;-2.31;8.56;0.22
40;2.30;0.04;3.85;0.01;4.27;3.86;0.11;5.75;-0.18;-0.03;0.33;5.34;8.73;0.17
41;2.35;0.05;3.97;0.12;4.26;4.12;0.26;5.71;-0.19;-0.01;2.33;2.00;8.93;0.20
42;2.40;0.05;4.19;0.23;4.26;4.26;0.15;5.67;-0.19;-0.00;4.59;2.26;9.14;0.21
43;2.45;0.05;4.35;0.16;4.27;4.47;0.21;5.65;-0.18;0.01;3.25;-1.35;9.35;0.21
44;2.50;0.05;4.57;0.21;4.27;4.54;0.06;5.62;-0.16;0.02;4.25;1.01;9.58;0.23
45;2.55;0.05;4.49;-0.07;4.28;4.15;-0.39;5.59;-0.13;0.03;-1.47;-5.72;9.81;0.23
46;2.60;0.05;4.32;-0.17;4.28;3.85;-0.29;5.55;-0.12;0.01;-3.41;-1.95;10.03;0.22
47;2.65;0.05;4.14;-0.18;4.27;3.79;-0.06;5.51;-0.14;-0.02;-3.58;-0.17;10.24;0.21
48;2.70;0.05;4.06;-0.08;4.27;4.05;0.26;5.48;-0.18;-0.03;-1.67;1.90;10.43;0.19
49;2.75;0.05;4.17;0.12;4.27;4.21;0.17;5.46;-0.20;-0.03;2.36;4.04;10.64;0.21
50;2.80;0.05;4.41;0.24;4.27;4.55;0.33;5.44;-0.18;0.02;4.59;2.23;10.87;0.23
51;2.85;0.05;4.74;0.32;4.28;3.99;-0.56;5.41;-0.18;0.00;6.08;1.49;11.12;0.25
52;2.90;0.05;4.51;-0.23;4.28;3.83;-0.16;5.38;-0.13;0.05;-4.99;-11.06;11.33;0.21
53;2.95;0.05;4.26;-0.25;4.28;3.68;-0.15;5.35;-0.15;-0.02;-5.07;-0.08;11.54;0.21
54;3.00;0.05;4.02;-0.24;4.28;3.79;0.11;5.32;-0.18;-0.03;-4.77;0.30;11.74;0.20
55;3.05;0.05;3.94;-0.08;4.27;3.88;0.09;5.29;-0.19;-0.01;-1.46;3.31;11.94;0.21
56;3.10;0.05;4.15;0.20;4.27;4.09;0.21;5.27;-0.19;0.00;4.16;5.62;12.15;0.20
57;3.15;0.05;4.14;-0.01;4.27;4.33;0.24;5.25;-0.17;0.02;-0.18;-4.33;12.35;0.20
58;3.20;0.05;4.63;0.49;4.27;4.59;0.26;5.24;-0.14;0.03;9.62;9.80;12.59;0.24
59;3.25;0.05;4.70;0.07;4.28;4.84;0.26;5.24;-0.13;0.01;1.43;-8.19;12.82;0.23
60;3.30;0.05;5.00;0.30;4.29;5.09;0.24;5.23;-0.08;0.04;5.92;4.49;13.07;0.25
61;3.35;0.05;5.37;0.37;4.31;5.34;0.26;5.24;-0.06;0.02;7.30;1.38;13.34;0.27
62;3.40;0.05;5.55;0.18;4.33;5.60;0.26;5.24;-0.05;0.01;3.52;-3.79;13.63;0.29
63;3.45;0.05;5.61;0.06;4.35;5.85;0.25;5.25;-0.05;0.01;1.17;-2.34;13.89;0.26
64;3.50;0.05;5.93;0.33;4.38;6.10;0.25;5.26;-0.07;-0.02;6.52;5.35;14.19;0.30
65;3.55;0.05;6.24;0.31;4.41;6.35;0.25;5.28;-0.06;0.01;6.24;-0.28;14.50;0.31
66;3.60;0.06;6.40;0.16;4.44;6.61;0.27;5.30;-0.03;0.03;2.91;-3.33;14.85;0.35
67;3.65;0.05;6.57;0.16;4.47;6.77;0.16;5.32;0.00;0.03;3.52;0.61;15.15;0.30
68;3.70;0.05;6.77;0.20;4.50;7.02;0.25;5.35;0.03;0.03;4.07;0.55;15.49;0.33
69;3.75;0.05;7.06;0.29;4.54;7.29;0.27;5.38;0.00;-0.03;5.59;1.51;15.85;0.37
70;3.80;0.05;7.30;0.24;4.58;7.61;0.32;5.41;-0.05;-0.05;5.07;-0.51;16.20;0.35
71;3.85;0.05;7.54;0.24;4.62;7.78;0.17;5.44;-0.02;0.02;4.65;-0.42;16.59;0.38
72;3.90;0.05;7.73;0.20;4.66;7.65;-0.12;5.47;0.00;0.03;4.01;-0.64;16.97;0.38
73;3.95;0.05;7.70;-0.04;4.70;7.29;-0.36;5.50;-0.01;-0.01;-0.74;-4.75;17.35;0.38
74;4.00;0.05;7.40;-0.30;4.74;6.95;-0.34;5.52;-0.01;-0.00;-5.89;-5.16;17.73;0.38
75;4.05;0.05;7.20;-0.20;4.77;6.62;-0.33;5.53;-0.02;-0.01;-4.07;1.83;18.08;0.35
76;4.10;0.05;6.95;-0.25;4.80;6.08;-0.54;5.54;-0.02;-0.00;-4.67;-0.60;18.45;0.37
77;4.15;0.05;6.69;-0.26;4.83;5.53;-0.54;5.54;-0.03;-0.00;-5.46;-0.78;18.77;0.32
78;4.20;0.05;6.48;-0.21;4.85;5.13;-0.41;5.53;-0.03;-0.00;-4.29;1.17;19.09;0.32
79;4.25;0.05;6.26;-0.21;4.87;4.75;-0.37;5.52;-0.03;-0.00;-4.20;0.09;19.41;0.32
80;4.32;0.07;6.04;-0.23;4.88;4.41;-0.34;5.51;-0.04;-0.01;-3.31;0.89;19.82;0.41
81;4.35;0.03;5.70;-0.34;4.89;4.26;-0.15;5.49;-0.05;-0.00;-10.16;-6.85;20.01;0.19
82;4.41;0.05;5.50;-0.21;4.90;4.10;-0.15;5.48;-0.05;-0.01;-3.83;6.34;20.30;0.30
83;4.45;0.04;5.32;-0.18;4.90;4.11;0.00;5.46;-0.08;-0.03;-3.92;-0.10;20.54;0.24
84;4.50;0.05;5.12;-0.20;4.91;4.14;0.03;5.44;-0.09;-0.01;-4.28;-0.35;20.78;0.24
85;4.55;0.05;4.82;-0.30;4.90;4.23;0.09;5.43;-0.11;-0.01;-5.79;-1.52;21.03;0.25
86;4.60;0.05;4.65;-0.17;4.90;4.31;0.08;5.42;-0.10;0.01;-3.34;2.45;21.27;0.23
87;4.65;0.05;4.47;-0.18;4.90;4.44;0.12;5.41;-0.13;-0.03;-3.42;-0.08;21.50;0.24
88;4.71;0.06;4.53;0.06;4.89;4.49;0.06;5.40;-0.14;-0.00;1.01;4.43;21.76;0.25
89;4.75;0.04;4.62;0.10;4.89;4.53;0.04;5.39;-0.17;-0.04;2.40;1.39;21.95;0.19
90;4.80;0.05;4.41;-0.22;4.88;3.27;-1.26;5.36;-0.29;-0.12;-4.35;-6.75;22.17;0.22
91;4.85;0.05;4.16;-0.25;4.88;3.54;0.27;5.34;-0.37;-0.07;-4.96;-0.61;22.37;0.21
92;4.90;0.05;3.99;-0.17;4.87;3.78;0.25;5.33;-0.40;-0.04;-3.21;1.75;22.58;0.21
93;4.95;0.05;4.02;0.03;4.86;4.04;0.26;5.31;-0.43;-0.03;0.52;3.73;22.78;0.20
94;5.00;0.05;4.24;0.22;4.85;4.29;0.25;5.30;-0.42;0.01;4.37;3.85;22.99;0.21
95;5.05;0.05;4.51;0.27;4.85;4.54;0.25;5.29;-0.35;0.07;5.43;1.06;23.22;0.23
96;5.10;0.05;4.57;0.06;4.84;4.79;0.25;5.29;-0.24;0.11;1.27;-4.16;23.45;0.23
97;5.15;0.05;4.79;0.22;4.84;4.67;-0.12;5.28;-0.17;0.07;4.43;3.16;23.68;0.23
98;5.20;0.05;4.62;-0.17;4.84;4.24;-0.43;5.27;-0.08;0.10;-3.34;-7.78;23.92;0.23
99;5.25;0.05;4.38;-0.24;4.84;3.95;-0.29;5.26;-0.03;0.05;-4.78;-1.44;24.13;0.22
100;5.30;0.05;4.17;-0.21;4.83;3.91;-0.04;5.24;-0.05;-0.02;-4.08;0.71;24.35;0.22
101;5.35;0.05;3.98;-0.19;4.82;3.87;-0.04;5.23;-0.07;-0.02;-4.03;0.05;24.54;0.19
102;5.40;0.05;4.07;0.10;4.81;4.00;0.13;5.22;-0.11;-0.03;1.99;6.02;24.74;0.20
103;5.45;0.05;4.23;0.16;4.81;4.23;0.23;5.21;-0.13;-0.02;3.21;1.22;24.95;0.21
104;5.50;0.05;4.34;0.11;4.80;4.49;0.25;5.20;-0.15;-0.03;2.05;-1.15;25.18;0.23
105;5.55;0.05;4.63;0.29;4.80;4.58;0.09;5.20;-0.22;-0.06;5.56;3.51;25.42;0.24
106;5.60;0.05;4.70;0.07;4.80;3.08;-1.50;5.18;-0.26;-0.05;1.57;-3.99;25.64;0.22
107;5.65;0.05;4.44;-0.27;4.80;3.17;0.09;5.16;-0.43;-0.17;-5.41;-6.98;25.86;0.22
108;5.70;0.05;4.12;-0.32;4.79;3.34;0.17;5.14;-0.41;0.02;-6.21;-0.79;26.07;0.21
109;5.75;0.05;3.98;-0.13;4.78;3.67;0.33;5.13;-0.41;0.00;-2.64;3.57;26.27;0.20
110;5.80;0.05;3.72;-0.27;4.77;3.93;0.26;5.12;-0.40;0.00;-5.46;-2.83;26.45;0.18
111;5.85;0.05;4.02;0.30;4.77;4.17;0.24;5.11;-0.36;0.04;5.74;11.20;26.66;0.21
112;5.90;0.05;4.57;0.55;4.77;4.34;0.17;5.10;-0.30;0.06;11.08;5.34;26.89;0.23
113;5.95;0.05;4.68;0.11;4.77;4.59;0.25;5.10;-0.19;0.11;2.25;-8.83;27.12;0.22
114;6.00;0.05;4.55;-0.13;4.76;4.85;0.25;5.09;-0.10;0.09;-2.58;-4.82;27.34;0.22
115;6.05;0.05;5.03;0.48;4.77;5.10;0.26;5.09;-0.02;0.08;9.52;12.10;27.59;0.25
116;6.10;0.05;5.38;0.35;4.77;5.35;0.25;5.10;0.01;0.03;6.99;-2.53;27.86;0.27
117;6.15;0.05;5.43;0.05;4.78;5.60;0.25;5.10;0.02;0.00;1.09;-5.89;28.13;0.27
118;6.20;0.05;5.73;0.30;4.78;5.85;0.25;5.11;-0.02;-0.04;6.06;4.97;28.42;0.29
119;6.25;0.05;5.86;0.13;4.79;6.10;0.25;5.12;0.00;0.03;2.57;-3.50;28.72;0.30
120;6.30;0.05;6.11;0.24;4.80;6.36;0.26;5.13;0.00;-0.00;4.81;2.25;29.02;0.31
121;6.35;0.05;6.34;0.24;4.82;6.53;0.17;5.14;-0.01;-0.01;4.86;0.05;29.33;0.31
122;6.40;0.05;6.67;0.32;4.83;6.86;0.33;5.15;-0.01;-0.01;6.31;1.45;29.67;0.34
123;6.45;0.05;6.90;0.24;4.85;7.11;0.26;5.17;-0.02;-0.01;4.46;-1.85;30.04;0.37
124;6.50;0.05;7.10;0.19;4.87;7.36;0.25;5.18;-0.02;-0.00;4.21;-0.25;30.36;0.33
125;6.55;0.05;7.36;0.27;4.89;7.50;0.15;5.20;-0.01;0.02;5.31;1.10;30.73;0.37
126;6.61;0.06;7.42;0.06;4.91;7.07;-0.44;5.22;-0.01;0.00;1.15;-4.16;31.14;0.41
127;6.65;0.05;7.12;-0.30;4.92;6.71;-0.36;5.23;-0.01;-0.01;-6.31;-7.46;31.48;0.34
128;6.70;0.05;6.92;-0.21;4.94;6.51;-0.20;5.24;-0.00;0.01;-4.36;1.94;31.81;0.33
129;6.75;0.05;6.67;-0.25;4.95;6.20;-0.31;5.25;-0.01;-0.00;-4.88;-0.52;32.15;0.34
130;6.80;0.05;6.41;-0.26;4.96;5.85;-0.35;5.25;-0.01;0.00;-5.13;-0.24;32.47;0.33
131;6.85;0.05;6.35;-0.06;4.98;5.35;-0.50;5.25;-0.01;0.00;-1.23;3.89;32.78;0.30
132;6.91;0.06;5.97;-0.37;4.98;5.01;-0.34;5.25;-0.01;-0.00;-6.55;-5.32;33.12;0.34
133;6.95;0.04;5.87;-0.10;4.99;4.77;-0.24;5.25;-0.00;0.00;-2.42;4.13;33.37;0.25
134;7.00;0.05;5.54;-0.33;4.99;4.44;-0.32;5.24;-0.01;-0.01;-6.52;-4.10;33.65;0.28
135;7.05;0.05;5.36;-0.18;5.00;4.17;-0.27;5.23;-0.02;-0.01;-3.69;2.83;33.92;0.27
136;7.10;0.05;5.04;-0.32;5.00;3.84;-0.34;5.22;-0.03;-0.01;-6.25;-2.56;34.17;0.26
137;7.15;0.05;4.78;-0.26;5.00;3.62;-0.22;5.21;-0.05;-0.01;-5.19;1.06;34.42;0.24
138;7.20;0.05;4.63;-0.15;4.99;3.52;-0.10;5.20;-0.04;0.01;-3.05;2.14;34.64;0.22
139;7.25;0.05;4.35;-0.28;4.99;3.44;-0.08;5.19;-0.05;-0.01;-5.53;-2.49;34.86;0.22
140;7.30;0.05;4.13;-0.22;4.98;3.28;-0.17;5.17;-0.06;-0.01;-4.18;1.35;35.08;0.22
141;7.35;0.05;4.00;-0.13;4.97;3.21;-0.06;5.16;-0.08;-0.02;-2.80;1.38;35.26;0.18
142;7.40;0.05;3.57;-0.42;4.96;3.14;-0.07;5.14;-0.10;-0.02;-8.13;-5.33;35.45;0.19
143;7.45;0.05;3.49;-0.09;4.95;3.08;-0.06;5.13;-0.13;-0.03;-1.81;6.32;35.62;0.17
144;7.51;0.06;3.22;-0.27;4.94;3.08;-0.00;5.12;-0.15;-0.02;-4.70;-2.89;35.80;0.18
145;7.55;0.04;3.14;-0.08;4.93;3.08;0.00;5.10;-0.16;-0.01;-1.78;2.92;35.94;0.14
146;7.60;0.05;3.15;0.01;4.92;3.08;0.00;5.09;-0.21;-0.05;0.30;2.07;36.09;0.15
147;7.65;0.05;3.13;-0.02;4.91;3.09;0.01;5.07;-0.34;-0.13;-0.46;-0.76;36.25;0.16
148;7.70;0.05;3.10;-0.03;4.89;3.08;-0.01;5.06;-0.39;-0.05;-0.62;-0.16;36.40;0.16
149;7.75;0.05;3.09;-0.01;4.88;3.08;0.00;5.05;-0.43;-0.03;-0.28;0.34;36.56;0.15
150;7.80;0.05;3.10;0.01;4.87;3.08;0.00;5.03;-0.42;0.00;0.19;0.47;36.71;0.15
151;7.85;0.05;3.19;0.09;4.86;3.08;0.00;5.02;-0.39;0.03;1.88;1.69;36.87;0.16
152;7.90;0.05;3.08;-0.11;4.85;3.08;0.00;5.01;-0.61;-0.22;-2.26;-4.14;37.03;0.15
153;7.95;0.05;3.33;0.25;4.84;3.29;0.21;5.00;-0.58;0.03;4.88;7.14;37.20;0.17
154;8.00;0.05;3.34;0.01;4.83;3.08;-0.21;4.99;-0.63;-0.05;0.19;-4.69;37.37;0.18
155;8.05;0.05;3.19;-0.15;4.82;3.08;0.00;4.97;-0.71;-0.08;-3.20;-3.39;37.52;0.15
156;8.10;0.05;3.00;-0.18;4.80;3.08;0.00;4.96;-0.80;-0.09;-3.62;-0.41;37.67;0.15
157;8.15;0.05;3.03;0.02;4.79;3.08;0.00;4.95;-0.88;-0.08;0.48;4.10;37.83;0.15
158;8.20;0.05;3.30;0.27;4.78;3.08;0.00;4.94;-0.93;-0.05;5.51;5.03;37.99;0.16
159;8.25;0.05;2.95;-0.35;4.77;3.08;0.00;4.93;-0.96;-0.02;-6.91;-12.42;38.14;0.15
160;8.30;0.05;3.12;0.18;4.76;3.08;0.00;4.91;-0.95;0.00;3.62;10.53;38.29;0.15
161;8.35;0.05;2.95;-0.17;4.75;3.08;0.00;4.90;-0.92;0.03;-3.34;-6.96;38.44;0.15
162;8.40;0.05;3.07;0.12;4.74;3.08;0.00;4.89;-0.86;0.06;2.49;5.83;38.59;0.15
163;8.45;0.05;3.44;0.37;4.73;3.08;0.00;4.88;-0.80;0.06;7.17;4.68;38.77;0.18
164;8.50;0.05;3.09;-0.36;4.72;3.08;0.00;4.87;-0.74;0.06;-7.40;-14.57;38.92;0.15
165;8.55;0.05;3.04;-0.05;4.71;3.08;0.00;4.86;-0.66;0.08;-1.00;6.40;39.07;0.15
166;8.60;0.05;3.21;0.17;4.70;3.08;0.00;4.85;-0.63;0.03;3.55;4.55;39.23;0.16
167;8.65;0.05;3.09;-0.12;4.69;3.09;0.01;4.84;-0.55;0.08;-2.46;-6.01;39.38;0.15
168;8.71;0.06;3.17;0.08;4.68;3.18;0.09;4.83;-0.51;0.05;1.36;3.81;39.57;0.18
169;8.75;0.04;3.26;0.09;4.68;3.08;-0.10;4.82;-0.54;-0.04;2.19;0.84;39.71;0.14
170;8.80;0.05;3.20;-0.06;4.67;3.08;0.00;4.81;-0.54;0.00;-1.13;-3.32;39.87;0.17
171;8.85;0.05;3.16;-0.04;4.66;3.08;0.00;4.80;-0.62;-0.08;-0.73;0.39;40.02;0.15
172;8.90;0.05;3.29;0.13;4.65;3.08;0.00;4.79;-0.56;0.06;2.53;3.26;40.19;0.16
173;8.95;0.05;3.10;-0.19;4.64;3.08;0.00;4.78;-0.61;-0.05;-3.87;-6.40;40.34;0.15
174;9.00;0.05;3.23;0.13;4.63;3.25;0.17;4.77;-0.43;0.19;2.51;6.38;40.51;0.17
175;9.05;0.05;3.27;0.05;4.63;3.43;0.19;4.76;-0.51;-0.09;0.99;-1.52;40.67;0.16
176;9.10;0.05;3.36;0.09;4.62;3.48;0.04;4.75;-0.59;-0.08;1.72;0.73;40.84;0.17
177;9.15;0.05;3.30;-0.06;4.61;3.08;-0.40;4.74;-0.66;-0.06;-1.30;-3.02;41.00;0.16
178;9.20;0.05;3.18;-0.11;4.60;3.08;0.00;4.73;-0.76;-0.11;-2.11;-0.81;41.17;0.17
179;9.25;0.05;3.10;-0.09;4.59;3.08;0.00;4.72;-0.81;-0.05;-1.82;0.29;41.32;0.15
180;9.30;0.05;3.09;-0.01;4.59;3.08;0.00;4.72;-0.83;-0.02;-0.26;1.56;41.47;0.15
181;9.35;0.05;3.20;0.11;4.58;3.08;0.00;4.71;-0.80;0.03;2.18;2.43;41.64;0.16
182;9.40;0.05;2.95;-0.24;4.57;3.08;0.00;4.70;-0.73;0.07;-5.07;-7.25;41.78;0.14
183;9.45;0.05;3.08;0.12;4.56;3.08;0.00;4.69;-0.63;0.10;2.50;7.57;41.93;0.15
184;9.51;0.06;3.26;0.18;4.55;3.25;0.17;4.68;-0.54;0.09;3.30;0.81;42.11;0.18
185;9.55;0.05;3.35;0.08;4.55;3.50;0.25;4.67;-0.39;0.15;1.79;-1.52;42.27;0.16
186;9.60;0.05;3.51;0.17;4.54;3.75;0.25;4.67;-0.21;0.18;3.49;1.70;42.44;0.17
187;9.65;0.05;3.96;0.45;4.54;4.00;0.25;4.67;-0.06;0.16;9.00;5.51;42.63;0.20
188;9.70;0.05;4.13;0.17;4.54;4.25;0.25;4.66;-0.00;0.05;3.43;-5.57;42.84;0.20
189;9.75;0.05;4.29;0.16;4.54;4.42;0.17;4.66;0.01;0.01;3.09;-0.34;43.06;0.22
190;9.80;0.05;4.53;0.24;4.54;4.46;0.03;4.66;0.02;0.01;4.47;1.38;43.30;0.24
191;9.85;0.05;4.45;-0.08;4.54;4.30;-0.16;4.66;0.02;-0.00;-1.62;-6.09;43.51;0.21
192;9.90;0.05;4.28;-0.17;4.53;4.16;-0.14;4.66;0.02;0.00;-3.48;-1.86;43.72;0.21
193;9.95;0.05;4.18;-0.11;4.53;4.04;-0.12;4.65;0.03;0.02;-2.09;1.39;43.93;0.21
194;10.00;0.05;4.04;-0.13;4.53;3.94;-0.09;4.65;0.04;0.01;-2.65;-0.57;44.13;0.20
195;10.05;0.05;4.01;-0.03;4.53;3.88;-0.06;4.65;0.05;0.01;-0.71;1.94;44.33;0.20
196;10.10;0.05;3.94;-0.07;4.52;3.83;-0.06;4.64;0.07;0.02;-1.34;-0.63;44.54;0.20
197;10.15;0.05;3.88;-0.06;4.52;3.82;-0.01;4.64;0.10;0.02;-1.26;0.08;44.73;0.19
198;10.21;0.06;3.88;0.00;4.52;3.82;-0.00;4.63;0.11;0.02;0.02;1.28;44.94;0.22
199;10.25;0.05;3.87;-0.01;4.51;3.55;-0.27;4.63;0.12;0.01;-0.14;-0.16;45.12;0.18
200;10.30;0.05;3.51;-0.36;4.51;3.30;-0.24;4.62;0.15;0.03;-7.33;-7.18;45.30;0.17
201;10.35;0.05;3.44;-0.08;4.50;3.33;0.03;4.62;0.17;0.02;-1.53;5.79;45.47;0.17
202;10.40;0.05;3.40;-0.04;4.50;3.25;-0.08;4.61;0.19;0.03;-0.71;0.82;45.64;0.17
203;10.45;0.05;3.37;-0.03;4.49;3.25;0.00;4.60;0.21;0.01;-0.55;0.16;45.80;0.17
204;10.51;0.05;3.32;-0.05;4.49;3.15;-0.11;4.59;0.22;0.01;-1.02;-0.47;45.98;0.18
205;10.55;0.05;3.19;-0.13;4.48;3.08;-0.07;4.59;0.23;0.01;-2.80;-1.78;46.13;0.15
206;10.60;0.05;3.14;-0.05;4.47;3.09;0.01;4.58;0.24;0.01;-0.95;1.85;46.28;0.15
207;10.65;0.05;3.20;0.05;4.47;3.23;0.14;4.57;0.26;0.02;1.02;1.96;46.45;0.17
208;10.70;0.05;3.41;0.21;4.46;3.38;0.15;4.57;0.27;0.01;4.27;3.26;46.62;0.17
209;10.75;0.05;3.38;-0.03;4.46;3.34;-0.03;4.56;0.26;-0.01;-0.63;-4.90;46.78;0.16
210;10.80;0.05;3.33;-0.05;4.45;3.18;-0.16;4.56;0.25;-0.01;-1.05;-0.42;46.95;0.17
211;10.85;0.05;3.22;-0.11;4.45;3.09;-0.09;4.55;0.24;-0.00;-2.20;-1.15;47.11;0.16
212;10.90;0.05;3.23;0.01;4.44;3.08;-0.01;4.54;0.25;0.00;0.13;2.33;47.27;0.16
213;10.95;0.05;3.08;-0.15;4.43;3.08;0.00;4.53;0.26;0.01;-2.88;-3.01;47.43;0.16
214;11.00;0.05;3.20;0.13;4.43;3.24;0.16;4.53;0.28;0.02;2.51;5.38;47.59;0.16
215;11.05;0.05;3.34;0.13;4.42;3.26;0.02;4.52;0.28;-0.00;2.77;0.27;47.75;0.16
216;11.10;0.05;3.28;-0.06;4.42;3.42;0.15;4.52;0.28;0.00;-1.18;-3.96;47.91;0.16
217;11.15;0.05;3.45;0.17;4.41;3.22;-0.19;4.51;0.26;-0.01;3.36;4.54;48.09;0.18
218;11.20;0.05;3.19;-0.26;4.41;3.14;-0.08;4.51;0.25;-0.02;-5.22;-8.58;48.25;0.16
219;11.25;0.05;3.23;0.04;4.40;3.20;0.05;4.50;0.26;0.01;0.80;6.02;48.41;0.16
220;11.30;0.05;3.34;0.10;4.40;3.27;0.07;4.49;0.27;0.01;2.01;1.21;48.58;0.17
221;11.35;0.05;3.44;0.10;4.39;3.29;0.02;4.49;0.27;0.00;2.02;0.01;48.75;0.16
222;11.40;0.05;3.43;-0.01;4.39;3.16;-0.13;4.48;0.26;-0.01;-0.21;-2.23;48.92;0.17
223;11.45;0.05;3.36;-0.07;4.38;3.34;0.18;4.48;0.26;-0.00;-1.32;-1.11;49.09;0.17
224;11.50;0.05;3.47;0.11;4.38;3.60;0.26;4.47;0.26;0.00;2.41;3.73;49.25;0.16
225;11.55;0.05;3.69;0.22;4.38;3.85;0.25;4.47;0.25;-0.01;3.94;1.54;49.45;0.20
226;11.60;0.05;3.88;0.19;4.38;4.01;0.16;4.47;0.22;-0.03;3.78;-0.16;49.65;0.20
